Image Sticker,Slice Index,Model,IoU,Dice
lung_074,273,EfficientSAM (VIT-small),0.2860759493670886,0.4448818897637795
lung_074,274,EfficientSAM (VIT-tiny),0.2091690544412607,0.3459715639810427
lung_074,274,EfficientSAM (VIT-small),0.3762626262626262,0.5467889908256881
lung_074,275,EfficientSAM (VIT-tiny),0.1959731543624161,0.3277216610549944
lung_074,275,EfficientSAM (VIT-small),0.2115942028985507,0.3492822966507177
lung_074,276,EfficientSAM (VIT-tiny),0.1972443799854967,0.3294972743791641
lung_074,276,EfficientSAM (VIT-small),0.2315737051792828,0.3760614638091387
lung_074,277,EfficientSAM (VIT-tiny),0.1755280407865987,0.298636926889715
lung_074,277,EfficientSAM (VIT-small),0.2387904066736183,0.3855218855218855
lung_074,278,EfficientSAM (VIT-tiny),0.2583868665239115,0.4106636415201361
lung_074,278,EfficientSAM (VIT-small),0.2693670886075949,0.4244116473873155
lung_074,279,EfficientSAM (VIT-tiny),0.1758486366165832,0.2991008045433033
lung_074,279,EfficientSAM (VIT-small),0.2852193995381062,0.4438454627133872
lung_074,280,EfficientSAM (VIT-tiny),0.2720879120879121,0.4277816171389081
lung_074,280,EfficientSAM (VIT-small),0.3698630136986301,0.54
lung_074,281,EfficientSAM (VIT-tiny),0.2795899347623485,0.4369992716678805
lung_074,281,EfficientSAM (VIT-small),0.3507640067911715,0.5193564605329312
lung_074,282,EfficientSAM (VIT-tiny),0.2892659826361484,0.4487297214569942
lung_074,282,EfficientSAM (VIT-small),0.3828233657858136,0.5536836811667085
lung_074,283,EfficientSAM (VIT-tiny),0.2441189525077674,0.392436674991081
lung_074,283,EfficientSAM (VIT-small),0.3761722820423758,0.546693589096416
lung_074,284,EfficientSAM (VIT-tiny),0.1227521501172791,0.2186629526462395
lung_074,284,EfficientSAM (VIT-small),0.3846153846153846,0.5555555555555556
lung_074,285,EfficientSAM (VIT-tiny),0.1681348142474147,0.2878688524590164
lung_074,285,EfficientSAM (VIT-small),0.4659498207885305,0.6356968215158925
lung_074,286,EfficientSAM (VIT-tiny),0.1639460610361958,0.2817073170731707
lung_074,286,EfficientSAM (VIT-small),0.4508506616257088,0.6214983713355049
lung_074,287,EfficientSAM (VIT-tiny),0.1855053191489361,0.3129556926528323
lung_074,287,EfficientSAM (VIT-small),0.3754277891854894,0.5459069420253795
lung_074,288,EfficientSAM (VIT-tiny),0.1997585998792999,0.3329979879275654
lung_074,288,EfficientSAM (VIT-small),0.4389165284687673,0.6100653092585478
lung_074,289,EfficientSAM (VIT-tiny),0.2251082251082251,0.3674911660777385
lung_074,289,EfficientSAM (VIT-small),0.4382198952879581,0.6093920640698944
lung_074,290,EfficientSAM (VIT-tiny),0.273103805332643,0.4290361935746238
lung_074,290,EfficientSAM (VIT-small),0.3998518152630279,0.5712773465067043
lung_074,291,EfficientSAM (VIT-tiny),0.233743842364532,0.3789179476941505
lung_074,291,EfficientSAM (VIT-small),0.3913764510779436,0.5625744934445769
lung_074,292,EfficientSAM (VIT-tiny),0.2707761417519341,0.4261586802827965
lung_074,292,EfficientSAM (VIT-small),0.4175935288169868,0.5891583452211127
lung_074,293,EfficientSAM (VIT-tiny),0.0705148205928237,0.1317400174876129
lung_074,293,EfficientSAM (VIT-small),0.4654476371408216,0.6352292983309026
lung_074,294,EfficientSAM (VIT-tiny),0.2483619344773791,0.3979005248687828
lung_074,294,EfficientSAM (VIT-small),0.2553052562846882,0.4067620286085825
lung_074,295,EfficientSAM (VIT-tiny),0.1078274760383386,0.1946647440519106
lung_074,295,EfficientSAM (VIT-small),0.2567394094993581,0.4085801838610827
lung_074,296,EfficientSAM (VIT-tiny),0.0813694975544686,0.1504934210526315
lung_074,296,EfficientSAM (VIT-small),0.3023962200472494,0.4643690075149002
lung_074,297,EfficientSAM (VIT-tiny),0.1109557109557109,0.1997482165337809
lung_074,297,EfficientSAM (VIT-small),0.3284313725490196,0.4944649446494465
lung_074,298,EfficientSAM (VIT-tiny),0.1402609506057782,0.2460155292194523
lung_074,298,EfficientSAM (VIT-small),0.2994671403197158,0.4609075997813012
lung_074,299,EfficientSAM (VIT-tiny),0.3350496506068408,0.5019283746556474
lung_074,299,EfficientSAM (VIT-small),0.3150318044861064,0.4791242362525458
